id_user,timestamp,note
100,2026-08-26T10:15:30,Mi piace la pizza e la pasta
100,2026-08-26T11:20:00,Cerco un paio di scarpe sportive
101,2026-08-26T12:00:00,Nota di prova utente 101
100,2026-08-26T14:08:38,AAAAAAAAAAAAAAAAAAA
200,2026-08-26T14:11:28,Mi piace la pizza
345,2026-08-26T14:18:33,mi piace tanto la mozzarella
111,2026-08-26T14:29:31,Uela bella donna
100,2026-08-26T15:23:34,Finalmente Cazzo
980000AA,2026-08-28T13:31:27,TEST
BH7888,2026-08-28T13:33:31,Abbiamo fixato quasi tutto
980000AA,2026-08-28T14:56:32,TEST
980000AA,2026-08-28T14:59:03,TEST
980000AA,2026-08-28T14:59:43,TEST
980000AA,2026-08-28T15:00:48,TEST
980000AA,2026-08-28T15:01:15,TEST
980000AA,2026-08-28T15:02:15,TEST
980000AA,2026-08-28T15:05:56,TEST
980000AA,2026-08-28T15:17:35,TEST
980000AA,2026-08-28T15:18:57,TEST
980000AA,2026-08-28T15:20:10,TEST
AFW2PDT3AMT4X3PYQG7FJZH5FXFA,2026-08-28T15:24:51,Mi piace nancy drew
980000AA,2026-08-28T15:33:45,TEST
980000AA,2026-08-28T15:35:42,TEST
980000AA,2026-08-28T15:36:14,TEST
980000AA,2026-08-28T15:37:24,TEST
980000AA,2026-08-28T15:38:10,TEST
980000AA,2026-08-28T15:38:54,TEST
980000AA,2026-08-28T15:39:07,TEST
980000AA,2026-08-28T15:39:20,TEST
980000AA,2026-08-28T15:39:40,TEST
980000AA,2026-08-28T15:40:06,TEST
980000AA,2026-08-28T15:49:30,TEST
980000AA,2026-08-28T15:51:20,TEST
980000AA,2026-08-28T15:52:22,TEST
AFW2PDT3AMT4X3PYQG7FJZH5FXFA,2026-08-29T17:19:22,Mi piace sherlock holmes
AFW2PDT3AMT4X3PYQG7FJZH5FXFA,2026-08-29T17:21:32,Sono un appassionato di calcio
AFW2PDT3AMT4X3PYQG7FJZH5FXFA,2026-08-29T17:22:54,Sono un appassionato di FIFA
AFW2PDT3AMT4X3PYQG7FJZH5FXFA,2026-08-29T17:25:17,Sono un appassionato di The Other Side
